學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0110-2,統計系 STAT,H2-052  H222300  [STAT2020],2,講義,數理統計（一）,3  必修,李國榮,640/2,[2]3~4 統計系館 62117[4]2 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H222300&class_code=
0110-2,統計系 STAT,H2-053  H231801  [STAT2013],2,講義,迴歸分析,3  必修,王義富,770/額滿,[3]7~9 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H231801&class_code=
0110-2,統計系 STAT,H2-054  H230420  [STAT2009],2,講義,會計學（二）,3  必修,施坤宏,608/7,[1]7~9 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H230420&class_code=
0110-2,統計系 STAT,H2-055  H221900  [STAT2005],2,講義,品質管制,3  選修,王義富,680/2,[2]6~8 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H221900&class_code=
0110-2,統計系 STAT,H2-056  H220401  [STAT2002],2,講義,抽樣調查,3  必修,趙昌泰,75/額滿,[2]2 統計系館 62117[5]2~3 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H220401&class_code=
0110-2,統計系 STAT,H2-057  H222800  [STAT2007],2,講義,統計軟體與繪圖,3  選修,李俊毅,54/1,[5]5~7 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H222800&class_code=
0110-2,統計系 STAT,H200000-Z5  [STAT],2,講義,通識課程,2  必修,,0/依照該類課程科目序號選課,[4]7~8,Moodle,
0110-2,統計系 STAT,H210040-Z  [STAT],2,講義,體育（四）,0  必修,,0/請0參考備註,[4]5~6,Moodle,
0110-2,統計系 STAT,H2-103  H230500  [STAT3005],3,講義,多變量分析,3  必修,溫敏杰,108/額滿,[3]3~4 統計系館 62115[5]4 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H230500&class_code=
0110-2,統計系 STAT,H200000-Z3  [STAT],3,講義,通識課程,2  必修,,00/請參考備註,[5]7~8,Moodle,
0110-2,統計系 STAT,H2-117  H233000  [STAT3012],3,講義,類別資料分析,3  必修,蘇佩芳,804/額滿,[2]6~8 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H233000&class_code=
0110-2,統計系 STAT,H2-119  H232000  [STAT3024],3,講義,機器學習,3  選修,鄭順林,57/013,[1]2~3 統計系館 62225[3]2 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H232000&class_code=
0110-2,統計系 STAT,H2-122  H233300  [STAT4007],3,講義,工業統計,3  選修,李宜真,52/08,[4]2~4 統計系館 62113上課時間,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H233300&class_code=
0110-2,統計系 STAT,H2-123  H222000  [STAT4001],3,講義,應用機率論,3  選修,張欣民,49/11,[1]6~8 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H222000&class_code=
0110-2,統計系 STAT,H2-127  H233800  [STAT3014],3,實習,統計調查實務,1  必修,趙昌泰,390/11,[5]9~A 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H233800&class_code=
0110-2,統計系 STAT,H2-128  H430301  [BA2000],3,講義,商事法,3  選修,林佑鴻,88/額0滿,[3]5~7 企管系館 62121,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H430301&class_code=
0110-2,統計系 STAT,H200000-Z4  [STAT],4,講義,通識課程,2  必修,,00/請參考備註,[5]1~2,Moodle,
